                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    132,                0.30601,                0.25569,                0.89356,                0.96671,                0.87966,                0.94557,                0.88099,                0.40867,                0.36436,                 0.9643,              8.875e-05,              8.875e-05,              8.875e-05
                    133,                0.30025,                0.24402,                0.89667,                0.95719,                0.89094,                 0.9434,                0.87691,                0.41157,                0.37071,                0.95125,             8.4625e-05,             8.4625e-05,             8.4625e-05
                    134,                0.30048,                0.26028,                0.89573,                0.92861,                0.92605,                0.94553,                0.89196,                0.40528,                0.37584,                0.93987,               8.05e-05,               8.05e-05,               8.05e-05
                    135,                0.29451,                0.24888,                0.89422,                0.88932,                0.92636,                 0.9443,                0.88425,                0.41461,                0.38187,                0.94712,             7.6375e-05,             7.6375e-05,             7.6375e-05
                    136,                0.28926,                0.24266,                0.88781,                0.89779,                0.92198,                0.93659,                0.87338,                0.41873,                0.39376,                0.95505,              7.225e-05,              7.225e-05,              7.225e-05
                    137,                0.29465,                0.25082,                 0.9013,                0.87998,                0.92756,                0.93506,                0.88196,                0.42611,                0.39953,                0.96442,             6.8125e-05,             6.8125e-05,             6.8125e-05
                    138,                0.30455,                0.24909,                0.88985,                0.94594,                0.88835,                 0.9433,                0.87065,                0.42311,                 0.3727,                0.97011,                6.4e-05,                6.4e-05,                6.4e-05
                    139,                0.29649,                0.25181,                0.89099,                0.90339,                0.93114,                0.94291,                0.87044,                0.42831,                0.39063,                0.97902,             5.9875e-05,             5.9875e-05,             5.9875e-05
                    140,                0.29052,                0.24185,                0.88866,                0.93947,                 0.9306,                0.94741,                0.87142,                0.43233,                0.38772,                0.98345,              5.575e-05,              5.575e-05,              5.575e-05
                    141,                  0.206,                0.19037,                0.84259,                0.93222,                0.91736,                 0.9422,                0.86273,                0.42453,                0.38731,                0.98271,             5.1625e-05,             5.1625e-05,             5.1625e-05
                    142,                 0.2072,                0.18813,                  0.833,                 0.9299,                0.90826,                0.94447,                0.85868,                0.41784,                0.39394,                 0.9816,               4.75e-05,               4.75e-05,               4.75e-05
                    143,                0.21171,                0.18428,                 0.8487,                0.89956,                0.92049,                 0.9316,                 0.8481,                 0.4208,                0.40631,                0.98917,             4.3375e-05,             4.3375e-05,             4.3375e-05
                    144,                0.20592,                0.18499,                0.83912,                0.88485,                0.88067,                0.90204,                0.83762,                0.41607,                0.40973,                0.99227,              3.925e-05,              3.925e-05,              3.925e-05
                    145,                0.19809,                0.18311,                0.83844,                0.88236,                0.88591,                0.91539,                0.84324,                0.41694,                0.40264,                0.99226,             3.5125e-05,             3.5125e-05,             3.5125e-05
                    146,                0.20024,                 0.1774,                0.85571,                0.90303,                 0.9202,                0.92675,                0.84635,                0.41954,                0.40536,                0.99228,                3.1e-05,                3.1e-05,                3.1e-05
                    147,                0.19778,                 0.1813,                0.83883,                0.91421,                0.91507,                0.93001,                 0.8518,                 0.4231,                0.40901,                0.99194,             2.6875e-05,             2.6875e-05,             2.6875e-05
                    148,                0.19515,                0.16737,                0.84794,                 0.9148,                0.92352,                0.93598,                0.85742,                0.42372,                0.40606,                0.98456,              2.275e-05,              2.275e-05,              2.275e-05
                    149,                0.19675,                0.16935,                0.83109,                0.91853,                0.92138,                0.93464,                0.85407,                0.42138,                0.41169,                0.98395,             1.8625e-05,             1.8625e-05,             1.8625e-05
                    150,                0.19127,                0.16777,                0.83037,                0.92118,                0.91962,                0.93531,                0.85386,                0.41458,                0.41267,                0.97684,               1.45e-05,               1.45e-05,               1.45e-05
